rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
245,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
246,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
247,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
248,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
249,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
250,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
251,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
252,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
253,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
254,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
255,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
256,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
257,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
258,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
259,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
260,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
261,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
262,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
263,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
264,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
265,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
266,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
267,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
268,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
